order_id,order_date,product_name,quantity,price
1,2025-01-05,Wireless Headphones,2,500
2,2025-01-05,Smartwatch,1,300
3,2025-01-06,Wireless Headphones,3,500
4,2025-01-06,Portable Speaker,5,200
5,2025-01-07,Laptop,2,1500
6,2025-01-07,Smartwatch,4,300
7,2025-01-08,Wireless Headphones,1,500
8,2025-01-08,Gaming Mouse,6,250
9,2025-01-09,Portable Speaker,3,200
10,2025-01-09,Laptop,1,1500
11,2025-01-10,Keyboard,2,800
12,2025-01-11,Wireless Headphones,4,500
13,2025-01-11,Smartwatch,2,300
14,2025-01-12,Gaming Mouse,3,250
15,2025-01-13,Keyboard,1,800
16,2025-01-14,Portable Speaker,7,200
17,2025-01-15,Wireless Headphones,5,500
18,2025-01-15,Laptop,2,1500
19,2025-01-16,Smartwatch,6,300
20,2025-01-16,Gaming Mouse,4,250
21,2025-02-02,Wireless Headphones,3,500
22,2025-02-03,Smartwatch,5,300
23,2025-02-05,Portable Speaker,2,200
24,2025-02-06,Laptop,1,1500
25,2025-02-07,Gaming Mouse,7,250
26,2025-02-08,Keyboard,2,800
27,2025-02-10,Wireless Headphones,4,500
28,2025-02-12,Smartwatch,3,300
29,2025-02-13,Portable Speaker,6,200
30,2025-02-14,Laptop,2,1500
31,2025-02-15,Gaming Mouse,5,250
32,2025-02-16,Keyboard,1,800
33,2025-02-18,Wireless Headphones,2,500
34,2025-02-19,Smartwatch,4,300
35,2025-02-20,Portable Speaker,3,200
36,2025-02-22,Laptop,1,1500
37,2025-02-23,Gaming Mouse,6,250
38,2025-02-24,Keyboard,2,800
39,2025-03-01,Wireless Headphones,5,500
40,2025-03-02,Smartwatch,2,300
41,2025-03-03,Portable Speaker,4,200
42,2025-03-04,Laptop,3,1500
43,2025-03-05,Gaming Mouse,1,250
44,2025-03-06,Keyboard,2,800
45,2025-03-07,Wireless Headphones,6,500
46,2025-03-08,Smartwatch,5,300
47,2025-03-09,Portable Speaker,2,200
48,2025-03-10,Laptop,1,1500
49,2025-03-11,Gaming Mouse,8,250
50,2025-03-12,Keyboard,3,800
51,2025-03-14,Wireless Headphones,4,500
52,2025-03-15,Smartwatch,7,300
53,2025-03-16,Portable Speaker,5,200
54,2025-03-18,Laptop,2,1500
55,2025-03-19,Gaming Mouse,3,250
56,2025-03-20,Keyboard,1,800
57,2025-04-06,Webcam,6,1000
58,2025-01-29,Wireless Headphones,8,500
59,2025-02-01,External SSD,1,700
60,2025-04-05,Gaming Mouse,3,250
61,2025-01-21,USB-C Hub,7,450
62,2025-01-27,Laptop,2,1500
63,2025-04-16,External SSD,8,700
64,2025-01-09,Smartwatch,5,300
65,2025-03-18,Wireless Headphones,6,500
66,2025-01-19,Keyboard,2,800
67,2025-04-08,Smartwatch,5,300
68,2025-02-05,Monitor,1,1200
69,2025-03-09,External SSD,8,700
70,2025-03-23,Smartwatch,4,300
71,2025-01-13,Keyboard,7,800
72,2025-05-01,External SSD,6,700
73,2025-03-02,USB-C Hub,5,450
74,2025-01-05,USB-C Hub,1,450
75,2025-03-12,Gaming Mouse,8,250
76,2025-03-28,Keyboard,6,800
77,2025-01-29,Keyboard,3,800
78,2025-03-09,USB-C Hub,8,450
79,2025-03-17,Webcam,5,1000
80,2025-01-30,USB-C Hub,2,450
81,2025-03-22,Wireless Headphones,7,500
82,2025-01-19,Gaming Mouse,7,250
83,2025-04-25,USB-C Hub,2,450
84,2025-01-10,Gaming Mouse,1,250
85,2025-03-18,Portable Speaker,7,200
86,2025-01-11,External SSD,7,700
87,2025-04-14,Webcam,8,1000
88,2025-02-05,External SSD,2,700
89,2025-03-13,Smartwatch,7,300
